,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
unsuccess,87,80,0.010629817,166,153,0.00306,both,3.473796286
specul,38,35,0.004650545,77,67,0.00134,both,3.470555805
lung,60,24,0.003188945,61,46,0.00092,both,3.466244555
ventur,65,60,0.007972362,131,115,0.0023,both,3.466244555
accur,38,36,0.004783417,79,69,0.00138,both,3.466244555
emphasi,37,36,0.004783417,72,69,0.00138,both,3.466244555
aid,132,108,0.014350252,241,207,0.00414,both,3.466244555
amend,127,49,0.006510763,140,94,0.00188,both,3.463171643
cat,116,50,0.006643635,147,96,0.00192,both,3.460226769
cabl,87,64,0.008503853,177,123,0.00246,both,3.456850938
scholar,186,159,0.021126761,352,306,0.00612,both,3.452085059
