page_len,page_touched,page_random
9074,20160718015319,0.300000094946
36676,20160706150842,0.300000199662
1455,20160629205806,0.300000582735
1901,20160704163201,0.300000760525
2903,20160712235751,0.300001137803
2760,20160704163201,0.30000148861
9288,20160711090041,0.300002054068
2677,20160712213917,0.300002535594
1506,20160629205806,0.300003080154
6812,20160704191912,0.300003887482
2956,20160704163201,0.300003948444
3662,20160713190814,0.300004281221
840,20160630044607,0.300004453157
6507,20160716060536,0.30000485261
19006,20160717180239,0.30000505161
4135,20160718025721,0.300005466381
5458,20160713030710,0.300005829673
1356,20160717123102,0.300006099672
37370,20160716064250,0.300006310734904
49182,20160710091705,0.300006701285
1613,20160718053038,0.300007451512
2623,20160629205806,0.300007595761
20007,20160718022408,0.300007967884
1881,20160629205806,0.300008309581
5235,20160711213208,0.300008807411
5300,20160704191912,0.300009093068
4653,20160704191912,0.300009186985
11278,20160716155214,0.300009325426081
8019,20160717203028,0.300009829425
3570,20160717012818,0.300010079929
5833,20160629205806,0.300010121687
2344,20160630172230,0.300010197065
5314,20160716065503,0.300010629834
1843,20160704163201,0.300010910358
4142,20160712235751,0.30001091719
1839,20160704163201,0.300011420747
14619,20160629003426,0.300011522412
4758,20160716062349,0.300011556343
566,20160716083457,0.300011663367
3378,20160704191912,0.300012841963
1418,20160711084852,0.300013212829
2097,20160704191912,0.300013243383
1881,20160704163201,0.300013523685
3718,20160717112302,0.300013595701
1073,20160718110854,0.300014117528
4002,20160713030710,0.300014151546
2857,20160701151739,0.300014463546
19792,20160703064912,0.300014698041
1629,20160717121515,0.30001473953
8950,20160717032829,0.300014923508
7148,20160718131136,0.30001507367
14445,20160710062227,0.30001544004
3373,20160711213208,0.300015553971
18757,20160705211610,0.300015624327
6320,20160717153044,0.300015659205
1562,20160629231142,0.300016406289
979,20160704163201,0.300016633651
1311,20160712235751,0.3000170385
883,20160704163201,0.300017069165
793,20160704191912,0.300017125113
3206,20160718081552,0.30001757236
15986,20160710082305,0.300017851332
3923,20160717114256,0.300017883349227
2208,20160716093923,0.300018039156
1902,20160718043639,0.300018357467
4535,20160716052247,0.300018422992
12194,20160716103314,0.30001853993164196
3002,20160718010340,0.300018592053
7623,20160714064801,0.300019194566
12302,20160703013546,0.300019306096
16753,20160704163201,0.30001948562
8906,20160717140603,0.30001967148857206
2103,20160710234622,0.30002010834
405,20160715210943,0.300020760616
4572,20160718141325,0.300020920096
12227,20160709071605,0.300021051103
1337,20160629205806,0.300021423259
9181,20160718083412,0.300021843871
10417,20160717190123,0.30002185823397903
6433,20160710181651,0.300021994399
44494,20160701151739,0.300022476249
20286,20160710151931,0.300022650241
41183,20160717114700,0.300022815494
2211,20160703145128,0.30002297916
1044,20160712235751,0.300023544323
3888,20160711221027,0.300024054843
18375,20160717100253,0.300024167331
2988,20160704163201,0.300024682319
51948,20160717012508,0.300025077816122
1718,20160712213917,0.300025103771
7935,20160718040330,0.300025297826
1574,20160704191912,0.300025377396
544,20160704191912,0.300025734078
38224,20160710232132,0.300025844319
565,20160628070622,0.300026472238
2313,20160717080415,0.300027508299
3004,20160711220934,0.300027742946
2740,20160717043536,0.30002774507
1665,20160713120745,0.300028112199
4033,20160717051402,0.300028269299
3547,20160713094325,0.300028529981
2594,20160704075802,0.30002910425
14557,20160717170527,0.30002923194
3769,20160711105509,0.300029265574
4047,20160717121550,0.300029509803
7973,20160704191912,0.300031644074
5173,20160718043740,0.300032395217598
4188,20160704163201,0.300032664431
1366,20160704163201,0.300033909131
1235,20160703140648,0.30003394899
2046,20160703145128,0.300034397208
4898,20160703145128,0.300034397864
16455,20160718041147,0.3000351178
1147,20160708230819,0.300035706911
4188,20160708081857,0.300035920868
5327,20160703064912,0.300036071008
1603,20160718051107,0.300036415753
2625,20160629205806,0.300037056336
4706,20160717015622,0.300038334628
49221,20160717030705,0.300038738919
2796,20160716150541,0.300038905293
12141,20160717034626,0.300039212986
3139,20160701165008,0.300039278839
2581,20160717230205,0.30003983754
9339,20160712110203,0.300040140013
3250,20160706214306,0.300040148742
6185,20160718035216,0.300040488052
29050,20160715180303,0.300040768192
3421,20160716113321,0.300040985666
1771,20160704163201,0.300041155474
24585,20160718121504,0.30004227468747896
5577,20160705095054,0.300042379972
3702,20160708015418,0.300043374529
904,20160712235751,0.300043557328
2463,20160628124918,0.300045272066
4810,20160718060728,0.300045641373
3427,20160704191912,0.300045702269
6009,20160712235751,0.300046432138
408,20160708233839,0.300046475732
8298,20160712132036,0.300047178055
5179,20160712194424,0.300047225016
2244,20160705224633,0.300047578082
3110,20160708233720,0.300048275758
4838,20160704191912,0.300048364274
4426,20160712204255,0.300048384809
6062,20160709191529,0.300048534184
1228,20160712213917,0.300049221037
1334,20160709000113,0.300049895314
1277,20160713164114,0.300050434342
16891,20160713160356,0.300050476216
756,20160704191912,0.300050842083
3073,20160706224515,0.300050866831
10691,20160718063756,0.300051075685817
11932,20160712235751,0.30005108905
27274,20160717232426,0.300051310705
884,20160712213917,0.300052362902
3494,20160704163201,0.300052394499
1857,20160629205806,0.300052547248
3729,20160709183905,0.300052809124
1148,20160712213917,0.300053190233
3400,20160714173852,0.300053566521
4574,20160711202624,0.300053599536
5713,20160703180631,0.300053642032
46666,20160716074841,0.300053757534
1135,20160712213917,0.300053781271
2292,20160711090615,0.300053939428
7055,20160703064912,0.300054336679
16469,20160716204005,0.300054419689
3250,20160716112547,0.30005512149
7226,20160716050042,0.300055128566
4135,20160718053427,0.30005518733
1790,20160704163201,0.300055737308
4880,20160713041644,0.300055738036
1622,20160711035502,0.300056200961
10655,20160717003500,0.300056326666
25237,20160711211217,0.300056472775
1750,20160704163201,0.300057550506
2594,20160704163201,0.30005821624
1582,20160629205806,0.300058220491
5665,20160718033230,0.300058300886357
4131,20160704163201,0.300058853279
7484,20160718074808,0.30005886208
6141,20160704163201,0.300059015159
8571,20160718134400,0.30005909716716
1905,20160712235751,0.300059533074
1571,20160712213917,0.300059679159
3149,20160718024252,0.300059729434
1226,20160712213917,0.300060243992
10772,20160712101242,0.300060462376
19348,20160716060649,0.30006058076402203
7873,20160711204236,0.3000610299
1091,20160704191912,0.300061045967
2465,20160713192740,0.300061330382
10983,20160717114233,0.300061895652
6600,20160714021026,0.300062454358
7019,20160713210246,0.300062598693
34064,20160714023148,0.300062737996
2591,20160712213917,0.300062747918
3116,20160714104224,0.300062937134
4062,20160708232708,0.300063243481
18867,20160718033152,0.300063587254
4621,20160716083916,0.300064528712
4081,20160715153849,0.300064589561
3745,20160717062446,0.300065851439
3451,20160714145055,0.300066159774
7727,20160716004514,0.300066288423
11450,20160703180257,0.300066697592
4175,20160716051350,0.300066768233
485,20160718032055,0.300067021978
7608,20160717094953,0.300068153981
2064,20160717174216,0.300068782144
1494,20160717092441,0.30006888164213796
8920,20160717191452,0.30006888709
25528,20160628150238,0.300069205208
7014,20160716222334,0.300069356841
4612,20160718012221,0.300070034133
3381,20160718025830,0.300070059513
2711,20160704201533,0.300070083778
5022,20160716081719,0.300070475259
3106,20160718080857,0.30007128184
30933,20160717042617,0.300071416663
2632,20160703145128,0.300071598237
3084,20160709010645,0.30007178593
36071,20160704182417,0.300072385537
5259,20160718004929,0.30007285353
2859,20160711090009,0.30007317898
1808,20160712235751,0.300073201238
16815,20160717085447,0.300073236422
1298,20160717022359,0.300073280859
24124,20160714180853,0.300074244395
3575,20160707225122,0.300074917271
2624,20160629205806,0.300075061443
6905,20160701131738,0.300075096768
4120,20160712213917,0.300075140546
4346,20160704163201,0.30007514158
2850,20160718065926,0.300075348922
4994,20160718041621,0.300075419667
1893,20160704163201,0.300075755191
1462,20160704163201,0.300075922958
5341,20160717080209,0.300076767753
3097,20160717081708,0.300076784445
2750,20160714014233,0.300076934242
1804,20160704191912,0.300077278929
14619,20160717080601,0.300077587645573
24595,20160701151739,0.30007787181
21435,20160708234124,0.300078335039
1939,20160712213917,0.300078348992
32973,20160710181651,0.300078734262
24984,20160718125926,0.30007875552408303
4304,20160704191912,0.300078914823
